Listing ID,Price,Address,Beds,Baths,SqFt,Link,Image URL,Latitude,Longitude,Date
5314800,"$2,299,000","3310 Bennett Dr, Los Angeles, CA 90068",4 beds,3.5 baths,"2,746",https://www.redfin.com/CA/Los-Angeles/3310-Bennett-Dr-90068/home/5314800,https://ssl.cdn-redfin.com/photo/40/islphoto/505/genIslnoResize.25560505_5.jpg,34.1269929,-118.3485894,2025-08-20
7131201,"$865,000","2222 N Beachwood Dr #207, Los Angeles, CA 90068",2 beds,2 baths,"1,328",https://www.redfin.com/CA/Los-Angeles/2222-N-Beachwood-Dr-90068/unit-207/home/7131201,https://ssl.cdn-redfin.com/photo/40/islphoto/903/genIslnoResize.25575903_0.jpg,34.1108419,-118.3204539,2025-08-20
79040839,"$1,198,000","6746 W Gill Way, Los Angeles, CA 90068",3 beds,3.5 baths,"1,859",https://www.redfin.com/CA/Los-Angeles/6746-Gill-Way-90068/home/79040839,https://ssl.cdn-redfin.com/photo/40/islphoto/717/genIslnoResize.25564717_0.jpg,34.1193866,-118.3402821,2025-08-20
7127368,"$489,000","1940 N Highland Ave #10, Los Angeles, CA 90068",2 beds,2 baths,980,https://www.redfin.com/CA/Los-Angeles/1940-N-Highland-Ave-90068/unit-10/home/7127368,https://ssl.cdn-redfin.com/photo/45/islphoto/228/genIslnoResize.P1-23228_3.jpg,34.10648,-118.3368355,2025-08-20
7128024,"$1,759,999","3540 N Knoll Dr, Los Angeles, CA 90068",3 beds,3 baths,"1,580",https://www.redfin.com/CA/Los-Angeles/3540-N-Knoll-Dr-90068/home/7128024,https://ssl.cdn-redfin.com/photo/45/islphoto/343/genIslnoResize.SR25168343_0.jpg,34.1330379,-118.337412,2025-08-20
7131871,"$2,996,000","5698 Holly Oak Dr, Los Angeles, CA 90068",4 beds,4 baths,"3,986",https://www.redfin.com/CA/Los-Angeles/5698-Holly-Oak-Dr-90068/home/7131871,https://ssl.cdn-redfin.com/photo/40/islphoto/205/genIslnoResize.25553205_0.jpg,34.1100282,-118.3135694,2025-08-20
17230229,"$540,000","6253 Hollywood Blvd #903, Los Angeles, CA 90028",0 beds,1 bath,730,https://www.redfin.com/CA/Los-Angeles/6253-Hollywood-Blvd-90028/unit-903/home/17230229,https://ssl.cdn-redfin.com/photo/40/islphoto/191/genIslnoResize.25557191_1.jpg,34.1017763,-118.3262794,2025-08-20
79040848,"$1,399,000","2780 N Wright Ln, Los Angeles, CA 90068",3 beds,4 baths,"2,194",https://www.redfin.com/CA/Los-Angeles/2780-Wright-Ln-90068/home/79040848,https://ssl.cdn-redfin.com/photo/40/islphoto/413/genIslnoResize.25571413_1.jpg,34.1196537,-118.3399739,2025-08-20
5310911,"$1,750,000","3740 Multiview Dr, Los Angeles, CA 90068",4 beds,4 baths,"3,481",https://www.redfin.com/CA/Los-Angeles/3740-Multiview-Dr-90068/home/5310911,https://ssl.cdn-redfin.com/photo/40/islphoto/753/genIslnoResize.25564753_0.jpg,34.1328332,-118.359602,2025-08-20
7128512,"$1,175,000","3305 Hillock Dr, Los Angeles, CA 90068",1 bed,1 bath,935,https://www.redfin.com/CA/Los-Angeles/3305-Hillock-Dr-90068/home/7128512,https://ssl.cdn-redfin.com/photo/40/islphoto/733/genIslnoResize.25563733_0.jpg,34.137826,-118.3433226,2025-08-20
7128189,"$825,000","2700 Cahuenga Blvd #3108, Los Angeles, CA 90068",3 beds,2 baths,"1,421",https://www.redfin.com/CA/Los-Angeles/2700-Cahuenga-Blvd-E-90068/unit-3108/home/7128189,https://ssl.cdn-redfin.com/photo/40/islphoto/949/genIslnoResize.25573949_0.jpg,34.118004,-118.336194,2025-08-20
7129824,"$2,250,000","6105 Mulholland Hwy, Los Angeles, CA 90068",3 beds,3.5 baths,"2,515",https://www.redfin.com/CA/Los-Angeles/6105-Mulholland-Hwy-90068/home/7129824,https://ssl.cdn-redfin.com/photo/40/islphoto/323/genIslnoResize.25549323_0.jpg,34.130976,-118.3209278,2025-08-20
